Strike Price,Call Bid,Call Ask,Put Bid,Put Ask,Implied Volatility,Delta,Delta,Gamma,Volume,Open Interest
5520,274.26,276.06,13.22,14.9,16.31,0.5,0.5,0.5,1,300
5525,269.62,271.42,13.54,15.27,16.205,0.5,0.5,0.5,,
5530,265,266.8,13.88,15.65,16.1,0.5,0.5,0.5,,
5540,255.78,257.58,14.62,16.42,15.89,0.5,0.5,0.5,,
5550,246.61,248.41,15.42,17.22,15.68,0.5,0.5,0.5,,
5560,237.49,239.29,15.96,18.07,15.47,0.5,0.5,0.5,,
5570,228.42,230.22,17.18,18.98,15.26,0.5,0.5,0.5,,
5575,223.91,225.71,17.65,19.45,15.155,0.5,0.5,0.5,,
5580,219.42,221.22,18.14,19.94,15.05,0.5,0.5,0.5,,
5590,210.48,212.28,18.07,20.23,14.84,0.5,0.5,0.5,,
5600,201.6,203.4,19.17,20.97,14.63,0.5,0.5,0.5,,
5610,192.8,194.6,21.43,23.23,14.42,0.5,0.5,0.5,,
5620,184.08,185.88,22.68,24.48,14.21,0.5,0.5,0.5,,
5625,179.75,181.55,23.33,25.13,14.105,0.5,0.5,0.5,,
5630,175.44,177.24,24.01,25.81,14,0.5,0.5,0.5,,
5640,167.02,168.82,25.56,27.36,13.82,0.5,0.5,0.5,,
5650,158.71,160.51,27.22,29.02,13.64,0.5,0.5,0.5,,
5660,150.51,152.31,28.99,30.79,13.46,0.5,0.5,0.5,,
5670,142.43,144.23,30.89,32.69,13.28,0.5,0.5,0.5,,
5675,138.44,140.24,31.88,33.68,13.19,0.5,0.5,0.5,,
5680,134.48,136.28,32.91,34.71,13.1,0.5,0.5,0.5,,
5690,126.67,128.47,35.07,36.87,12.92,0.5,0.5,0.5,,
5700,119.01,120.81,37.37,39.17,12.74,0.5,0.5,0.5,,
5710,111.5,113.3,39.83,41.63,12.56,0.5,0.5,0.5,,
5720,104.16,105.96,42.46,44.26,12.38,0.5,0.5,0.5,,
5730,96.99,98.79,45.27,47.07,12.2,0.5,0.5,0.5,,
5740,90.02,91.82,48.26,50.06,12.02,0.5,0.5,0.5,,
5750,83.24,85.04,51.45,53.25,11.84,0.5,0.5,0.5,,
5760,76.67,78.47,54.85,56.65,11.66,0.5,0.5,0.5,,
5770,70.32,72.12,58.47,60.27,11.48,0.5,0.5,0.5,,
5780,64.2,66,62.32,64.12,11.3,0.5,0.5,0.5,,
5790,58.5,60.3,66.59,68.39,11.15,0.5,0.5,0.5,,
5800,53.04,54.84,71.11,72.91,11,0.5,0.5,0.5,,
5810,47.85,49.65,75.89,77.69,10.85,0.5,0.5,0.5,,
5820,42.93,44.73,80.94,82.74,10.7,0.5,0.5,0.5,,
5830,38.29,40.09,86.27,88.07,10.55,0.5,0.5,0.5,,
5840,33.93,35.73,91.87,93.67,10.4,0.5,0.5,0.5,,
5850,29.85,31.65,97.77,99.57,10.25,0.5,0.5,0.5,,
5900,16.05,17.85,133.82,135.62,10.058,0.5,0.5,0.5,,
5950,8.05,9.08,175.28,177.08,9.928,0.5,0.5,0.5,,
6000,3.38,4.38,220.45,222.25,9.798,0.5,0.5,0.5,,
6050,1.06,2.06,267.98,269.78,9.668,0.5,0.5,0.5,,
6100,0.05,1.05,316.82,318.62,9.538,0.5,0.5,0.5,,
6150,0,1,366.3,368.1,9.46,0.5,0.5,0.5,,
6200,0,1,416.03,417.83,9.46,0.5,0.5,0.5,,
